Country,Date,Cumulative_cases,Cases
District of Columbia,2022-07-29,218,4
District of Columbia,2022-08-03,257,39
District of Columbia,2022-08-10,319,62
District of Columbia,2022-08-12,328,9
District of Columbia,2022-08-15,342,14
District of Columbia,2022-08-16,344,2
District of Columbia,2022-08-17,351,7
District of Columbia,2022-08-18,351,0
District of Columbia,2022-08-22,372,21
District of Columbia,2022-08-23,402,30
District of Columbia,2022-08-24,402,0
District of Columbia,2022-08-25,414,12
District of Columbia,2022-08-26,414,0
District of Columbia,2022-08-30,432,18
District of Columbia,2022-08-31,432,0
District of Columbia,2022-09-01,432,0
District of Columbia,2022-09-02,432,0
District of Columbia,2022-09-06,436,4
District of Columbia,2022-09-07,436,0
District of Columbia,2022-09-08,448,12
District of Columbia,2022-09-09,457,9
District of Columbia,2022-09-12,457,0
District of Columbia,2022-09-13,467,10
District of Columbia,2022-09-14,473,6
District of Columbia,2022-09-18,477,4
District of Columbia,2022-09-19,484,7
District of Columbia,2022-09-20,488,4
District of Columbia,2022-09-21,488,0
District of Columbia,2022-09-23,494,6
District of Columbia,2022-09-26,494,0
District of Columbia,2022-09-27,496,2
District of Columbia,2022-09-28,495,-1
District of Columbia,2022-09-29,497,2
District of Columbia,2022-10-01,497,0
District of Columbia,2022-10-03,497,0
Florida,2022-06-08,4,4
Florida,2022-06-17,10,6
Florida,2022-06-22,16,6
Florida,2022-06-28,27,11
Florida,2022-07-05,64,37
Florida,2022-07-07,72,8
Florida,2022-07-15,154,82
Florida,2022-07-18,180,26
Florida,2022-07-19,180,0
Florida,2022-07-21,226,46
Florida,2022-07-22,247,21
Florida,2022-07-25,273,26
Florida,2022-07-26,309,36
Florida,2022-07-27,332,23
Florida,2022-07-28,346,14
Florida,2022-07-29,373,27
Florida,2022-08-03,525,152
Florida,2022-08-10,1018,493
Florida,2022-08-12,1085,67
Florida,2022-08-15,1085,0
Florida,2022-08-16,1268,183
Florida,2022-08-17,1346,78
Florida,2022-08-18,1372,26
Florida,2022-08-22,1588,216
Florida,2022-08-23,1638,50
Florida,2022-08-24,1669,31
Florida,2022-08-25,1713,44
Florida,2022-08-26,1739,26
Florida,2022-08-30,1870,131
Florida,2022-08-31,1922,52
Florida,2022-09-01,1957,35
Florida,2022-09-02,1991,34
Florida,2022-09-06,2126,135
Florida,2022-09-07,2148,22
Florida,2022-09-08,2158,10
Florida,2022-09-09,2193,35
Florida,2022-09-12,2193,0
Florida,2022-09-13,2282,89
Florida,2022-09-14,2301,19
Florida,2022-09-18,2352,51
Florida,2022-09-19,2398,46
Florida,2022-09-20,2411,13
Florida,2022-09-21,2422,11
Florida,2022-09-23,2444,22
Florida,2022-09-26,2455,11
Florida,2022-09-27,2501,46
Florida,2022-09-28,2508,7
Florida,2022-09-29,2520,12
Florida,2022-10-01,2529,9
Florida,2022-10-03,2543,14
Georgia,2022-06-08,1,1
Georgia,2022-06-17,3,2
Georgia,2022-06-22,5,2
Georgia,2022-06-28,7,2
Georgia,2022-07-05,13,6
Georgia,2022-07-07,19,6
Georgia,2022-07-15,93,74
Georgia,2022-07-18,110,17
Georgia,2022-07-19,132,22
Georgia,2022-07-21,158,26
Georgia,2022-07-22,211,53
Georgia,2022-07-25,268,57
Georgia,2022-07-26,289,21
Georgia,2022-07-27,312,23
Georgia,2022-07-28,330,18
Georgia,2022-07-29,351,21
Georgia,2022-08-03,504,153
Georgia,2022-08-10,775,271
Georgia,2022-08-12,851,76
Georgia,2022-08-15,951,100
Georgia,2022-08-16,1013,62
Georgia,2022-08-17,1033,20
Georgia,2022-08-18,1066,33
Georgia,2022-08-22,1190,124
Georgia,2022-08-23,1220,30
Georgia,2022-08-24,1240,20
Georgia,2022-08-25,1240,0
Georgia,2022-08-26,1299,59
Georgia,2022-08-30,1387,88
Georgia,2022-08-31,1403,16
Georgia,2022-09-01,1418,15
Georgia,2022-09-02,1445,27
Georgia,2022-09-06,1512,67
Georgia,2022-09-07,1522,10
Georgia,2022-09-08,1535,13
Georgia,2022-09-09,1557,22
Georgia,2022-09-12,1557,0
Georgia,2022-09-13,1607,50
Georgia,2022-09-14,1614,7
Georgia,2022-09-18,1658,44
Georgia,2022-09-19,1702,44
Georgia,2022-09-20,1712,10
Georgia,2022-09-21,1717,5
Georgia,2022-09-23,1736,19
Georgia,2022-09-26,1764,28
Georgia,2022-09-27,1773,9
Georgia,2022-09-28,1784,11
Georgia,2022-09-29,1785,1
Georgia,2022-10-01,1785,0
Georgia,2022-10-03,1815,30
Hawaii,2022-06-08,2,2
Hawaii,2022-06-17,5,3
Hawaii,2022-06-22,5,0
Hawaii,2022-06-28,6,1
Hawaii,2022-07-05,6,0
Hawaii,2022-07-07,6,0
Hawaii,2022-07-15,8,2
Hawaii,2022-07-18,8,0
Hawaii,2022-07-19,8,0
Hawaii,2022-07-21,8,0
Hawaii,2022-07-22,8,0
Hawaii,2022-07-25,10,2
Hawaii,2022-07-26,10,0
Hawaii,2022-07-27,10,0
Hawaii,2022-07-28,10,0
Hawaii,2022-07-29,10,0
Hawaii,2022-08-03,10,0
Hawaii,2022-08-10,11,1
Hawaii,2022-08-12,12,1
Hawaii,2022-08-15,12,0
Hawaii,2022-08-16,12,0
Hawaii,2022-08-17,13,1
Hawaii,2022-08-18,13,0
Hawaii,2022-08-22,13,0
Hawaii,2022-08-23,15,2
Hawaii,2022-08-24,15,0
Hawaii,2022-08-25,15,0
Hawaii,2022-08-26,15,0
Hawaii,2022-08-30,18,3
Hawaii,2022-08-31,18,0
Hawaii,2022-09-01,18,0
Hawaii,2022-09-02,18,0
Hawaii,2022-09-06,22,4
Hawaii,2022-09-07,25,3
Hawaii,2022-09-08,25,0
Hawaii,2022-09-09,25,0
Hawaii,2022-09-12,25,0
Hawaii,2022-09-13,25,0
Hawaii,2022-09-14,25,0
Hawaii,2022-09-18,25,0
Hawaii,2022-09-19,25,0
Hawaii,2022-09-20,25,0
Hawaii,2022-09-21,27,2
Hawaii,2022-09-23,27,0
Hawaii,2022-09-26,29,2
Hawaii,2022-09-27,29,0
Hawaii,2022-09-28,29,0
Hawaii,2022-09-29,34,5
Hawaii,2022-10-01,34,0
Hawaii,2022-10-03,34,0
Idaho,2022-07-07,1,1
Idaho,2022-07-15,1,0
Idaho,2022-07-18,1,0
Idaho,2022-07-19,1,0
Idaho,2022-07-21,2,1
Idaho,2022-07-22,2,0
Idaho,2022-07-25,2,0
Idaho,2022-07-26,2,0
Idaho,2022-07-27,3,1
Idaho,2022-07-28,3,0
Idaho,2022-07-29,4,1
Idaho,2022-08-03,5,1
Idaho,2022-08-10,8,3
Idaho,2022-08-12,9,1
Idaho,2022-08-15,9,0
Idaho,2022-08-16,9,0
Idaho,2022-08-17,9,0
Idaho,2022-08-18,9,0
Idaho,2022-08-22,9,0
Idaho,2022-08-23,9,0
Idaho,2022-08-24,9,0
Idaho,2022-08-25,9,0
Idaho,2022-08-26,9,0
Idaho,2022-08-30,9,0
Idaho,2022-08-31,11,2
Idaho,2022-09-01,11,0
Idaho,2022-09-02,11,0
Idaho,2022-09-06,11,0
Idaho,2022-09-07,11,0
Idaho,2022-09-08,11,0
Idaho,2022-09-09,11,0
Idaho,2022-09-12,11,0
Idaho,2022-09-13,12,1
Idaho,2022-09-14,12,0
Idaho,2022-09-18,12,0
Idaho,2022-09-19,12,0
Idaho,2022-09-20,12,0
Idaho,2022-09-21,12,0
Idaho,2022-09-23,12,0
Idaho,2022-09-26,12,0
Idaho,2022-09-27,12,0
Idaho,2022-09-28,13,1
Idaho,2022-09-29,13,0
Idaho,2022-10-01,13,0
Idaho,2022-10-03,13,0
Illinois,2022-06-08,3,3
Illinois,2022-06-17,15,12
Illinois,2022-06-22,19,4
Illinois,2022-06-28,45,26
Illinois,2022-07-05,62,17
Illinois,2022-07-07,91,29
Illinois,2022-07-15,174,83
Illinois,2022-07-18,200,26
Illinois,2022-07-19,200,0
Illinois,2022-07-21,230,30
Illinois,2022-07-22,238,8
Illinois,2022-07-25,344,106
Illinois,2022-07-26,350,6
Illinois,2022-07-27,385,35
Illinois,2022-07-28,396,11
Illinois,2022-07-29,419,23
Illinois,2022-08-03,547,128
Illinois,2022-08-10,717,170
Illinois,2022-08-12,771,54
Illinois,2022-08-15,831,60
Illinois,2022-08-16,851,20
Illinois,2022-08-17,875,24
Illinois,2022-08-18,888,13
Illinois,2022-08-22,951,63
Illinois,2022-08-23,970,19
Illinois,2022-08-24,983,13
Illinois,2022-08-25,999,16
Illinois,2022-08-26,1005,6
Illinois,2022-08-30,1058,53
Illinois,2022-08-31,1069,11
Illinois,2022-09-01,1081,12
Illinois,2022-09-02,1087,6
Illinois,2022-09-06,1128,41
Illinois,2022-09-07,1128,0
Illinois,2022-09-08,1134,6
Illinois,2022-09-09,1141,7
Illinois,2022-09-12,1141,0
Illinois,2022-09-13,1180,39
Illinois,2022-09-14,1187,7
Illinois,2022-09-18,1212,25
Illinois,2022-09-19,1220,8
Illinois,2022-09-20,1257,37
Illinois,2022-09-21,1263,6
Illinois,2022-09-23,1270,7
Illinois,2022-09-26,1284,14
Illinois,2022-09-27,1300,16
Illinois,2022-09-28,1305,5
Illinois,2022-09-29,1306,1
Illinois,2022-10-01,1315,9
Illinois,2022-10-03,1315,0
Indiana,2022-06-22,2,2
Indiana,2022-06-28,2,0
Indiana,2022-07-05,5,3
Indiana,2022-07-07,5,0
Indiana,2022-07-15,11,6
Indiana,2022-07-18,11,0
Indiana,2022-07-19,11,0
Indiana,2022-07-21,35,24
Indiana,2022-07-22,31,-4
Indiana,2022-07-25,33,2
Indiana,2022-07-26,33,0
Indiana,2022-07-27,37,4
Indiana,2022-07-28,45,8
Indiana,2022-07-29,49,4
Indiana,2022-08-03,62,13
Indiana,2022-08-10,77,15
Indiana,2022-08-12,78,1
Indiana,2022-08-15,84,6
Indiana,2022-08-16,95,11
Indiana,2022-08-17,101,6
Indiana,2022-08-18,102,1
Indiana,2022-08-22,107,5
Indiana,2022-08-23,134,27
Indiana,2022-08-24,137,3
Indiana,2022-08-25,141,4
Indiana,2022-08-26,147,6
Indiana,2022-08-30,162,15
Indiana,2022-08-31,153,-9
Indiana,2022-09-01,169,16
Indiana,2022-09-02,172,3
Indiana,2022-09-06,178,6
Indiana,2022-09-07,182,4
Indiana,2022-09-08,182,0
Indiana,2022-09-09,183,1
Indiana,2022-09-12,188,5
Indiana,2022-09-13,193,5
Indiana,2022-09-14,195,2
Indiana,2022-09-18,203,8
Indiana,2022-09-19,209,6
Indiana,2022-09-20,211,2
Indiana,2022-09-21,218,7
Indiana,2022-09-23,223,5
Indiana,2022-09-26,227,4
Indiana,2022-09-27,228,1
Indiana,2022-09-28,228,0
Indiana,2022-09-29,232,4
Indiana,2022-10-01,234,2
Indiana,2022-10-03,234,0
International,2022-06-17,2,2
International,2022-06-22,2,0
Iowa,2022-07-05,1,1
Iowa,2022-07-07,1,0
Iowa,2022-07-15,3,2
Iowa,2022-07-18,3,0
Iowa,2022-07-19,4,1
Iowa,2022-07-21,5,1
Iowa,2022-07-22,6,1
Iowa,2022-07-25,7,1
Iowa,2022-07-26,8,1
Iowa,2022-07-27,9,1
Iowa,2022-07-28,10,1
Iowa,2022-07-29,10,0
Iowa,2022-08-03,11,1
Iowa,2022-08-10,13,2
Iowa,2022-08-12,15,2
Iowa,2022-08-15,15,0
Iowa,2022-08-16,15,0
Iowa,2022-08-17,15,0
Iowa,2022-08-18,15,0
Iowa,2022-08-22,15,0
Iowa,2022-08-23,16,1
Iowa,2022-08-24,16,0
Iowa,2022-08-25,16,0
Iowa,2022-08-26,18,2
Iowa,2022-08-30,18,0
Iowa,2022-08-31,18,0
Iowa,2022-09-01,18,0
Iowa,2022-09-02,18,0
Iowa,2022-09-06,19,1
Iowa,2022-09-07,20,1
Iowa,2022-09-08,20,0
Iowa,2022-09-09,20,0
Iowa,2022-09-12,22,2
Iowa,2022-09-13,22,0
Iowa,2022-09-14,22,0
Iowa,2022-09-18,23,1
Iowa,2022-09-19,22,-1
Iowa,2022-09-20,23,1
Iowa,2022-09-21,24,1
Iowa,2022-09-23,25,1
Iowa,2022-09-26,25,0
Iowa,2022-09-27,25,0
Iowa,2022-09-28,25,0
Iowa,2022-09-29,25,0
Iowa,2022-10-01,25,0
Iowa,2022-10-03,25,0
Kansas,2022-07-15,1,1
Kansas,2022-07-18,1,0
Kansas,2022-07-19,1,0
Kansas,2022-07-21,2,1
Kansas,2022-07-22,2,0
Kansas,2022-07-25,2,0
Kansas,2022-07-26,1,-1
Kansas,2022-07-27,1,0
Kansas,2022-07-28,1,0
Kansas,2022-07-29,1,0
Kansas,2022-08-03,1,0
Kansas,2022-08-10,2,1
Kansas,2022-08-12,3,1
Kansas,2022-08-15,3,0
Kansas,2022-08-16,3,0
Kansas,2022-08-17,3,0
Kansas,2022-08-18,3,0
Kansas,2022-08-22,3,0
Kansas,2022-08-23,4,1
Kansas,2022-08-24,4,0
Kansas,2022-08-25,5,1
Kansas,2022-08-26,5,0
Kansas,2022-08-30,5,0
Kansas,2022-08-31,5,0
Kansas,2022-09-01,5,0
Kansas,2022-09-02,6,1
Kansas,2022-09-06,7,1
Kansas,2022-09-07,7,0
